time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/explained_variance,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,train/std,train/value_loss,rollout/ep_rew_mean,train/n_updates,train/approx_kl,train/loss
2473,3,1,8192,,,,,,,,,,,,,
832,19,2,16384,0.8158922791481018,-5.511517366394401,0.08515625,0.4,3e-05,-0.023383956257384854,995.5,0.13506537675857544,0.00027815676906755015,-1.5723518125,20,0.033624474,-0.049989547580480576
669,36,3,24576,0.8453155606985092,-6.14426707290113,0.1078857421875,0.4,3e-05,-0.033286169776692985,995.5,0.135035902261734,0.0014395557200941767,-1.5723518125,40,0.04103982,-0.038821350783109665
614,53,4,32768,0.9060719385743141,-5.721999803930521,0.10819091796875,0.4,3e-05,-0.02673844982418814,997.75,0.13438734412193298,0.00048445258695437585,-0.32022387499999994,60,0.03869211,-0.02958713471889496
583,70,5,40960,0.917858250439167,-5.781305769458413,0.117413330078125,0.4,3e-05,-0.03969782245767419,997.75,0.1346084475517273,0.002035129527416757,-0.32022387499999994,80,0.05878701,-0.08193513005971909
564,87,6,49152,0.9639987535774708,-5.697263525053859,0.116064453125,0.4,3e-05,-0.03350260542574688,992.8333333333334,0.13341592252254486,0.0007210356670384499,2.4306186458333334,100,0.050672926,-0.05101807788014412
549,104,7,57344,0.3372635245323181,-5.091772643104195,0.13265380859375,0.4,3e-05,-0.030081590143527136,975.86,0.13294731080532074,0.35779536326990635,3.44641402,120,0.045803934,0.12286370247602463
540,121,8,65536,0.50190469622612,-5.392277957499028,0.1314697265625,0.4,3e-05,-0.02508079500985332,970.171875,0.13264793157577515,0.2587515755012646,4.77781371875,140,0.048129916,-0.021535348147153854
532,138,9,73728,0.6643740832805634,-5.867417116090655,0.131842041015625,0.4,3e-05,-0.030001800707032088,959.1594202898551,0.13209787011146545,0.4606348225795955,5.97590788405797,160,0.054986283,-0.006279643625020981
526,155,10,81920,0.9189675450325012,-5.424797275289893,0.137017822265625,0.4,3e-05,-0.03730357069071033,956.9,0.13143020868301392,0.2379945858992869,6.469205875,180,0.061464548,-0.046685557812452316
520,173,11,90112,0.861569732427597,-5.372082709521055,0.120538330078125,0.4,3e-05,-0.027594700562258368,950.2386363636364,0.130868598818779,0.2091851056462474,6.736643738636363,200,0.073033616,-0.015162309631705284
502,195,12,98304,0.95151362195611,-5.3667323283851145,0.086627197265625,0.4,3e-05,-0.03234294700123428,939.8080808080808,0.13063421845436096,0.09884116609555349,7.486182888888889,220,0.039857954,0.129087895154953
486,218,13,106496,0.9498050883412361,-5.7117700688540936,0.132080078125,0.4,3e-05,-0.039560994213752566,915.63,0.13012918829917908,0.11282198588360189,9.74974953,240,0.06472317,-0.0084617855027318
496,230,14,114688,0.9630419015884399,-5.939735686406493,0.089862060546875,0.4,3e-05,-0.029487646878260422,898.77,0.12969055771827698,0.17846933885921318,11.389131999999996,260,0.04152534,-0.008065951988101006
484,253,15,122880,0.9635080359876156,-5.891529671102762,0.123150634765625,0.4,3e-05,-0.023076863473761478,889.7,0.12872682511806488,0.09755502882362635,12.25165534,280,0.04422671,0.00902470201253891
482,271,16,131072,0.9742167051881552,-5.678260230645537,0.104388427734375,0.4,3e-05,-0.03886853770745802,877.36,0.12804070115089417,0.04728975579091639,12.654636109999998,300,0.053197175,-0.056343547999858856
482,288,17,139264,0.9537875130772591,-6.151512403041124,0.172015380859375,0.4,3e-05,-0.03970628364259028,870.02,0.12743547558784485,0.1384800736890611,13.14194998,320,0.06773622,-0.027148641645908356
481,306,18,147456,0.9752380903810263,-5.6890621989965435,0.11141357421875,0.4,3e-05,-0.046901581740530676,864.32,0.1269918531179428,0.05006162751087686,13.266748770000001,340,0.049662597,0.013941717334091663
481,322,19,155648,0.960449431091547,-5.823165237531066,0.11844482421875,0.4,3e-05,-0.033610139524898844,854.04,0.1267859935760498,0.20062492065771947,13.99473505,360,0.042484757,0.09410292655229568
481,339,20,163840,0.9629112519323826,-6.031834441050887,0.1088134765625,0.4,3e-05,-0.0331607500629616,830.76,0.1263725310564041,0.17050100250635297,14.931918880000001,380,0.040495835,-0.019751951098442078
481,357,21,172032,0.9477288462221622,-5.745181018859148,0.088751220703125,0.4,3e-05,-0.029209943498426583,821.68,0.12575790286064148,0.3264158971622237,15.85313904,400,0.0404042,0.0374239906668663
481,374,22,180224,0.9626424759626389,-5.8081471137702465,0.119244384765625,0.4,3e-05,-0.03734857586059661,794.54,0.1250508725643158,0.13733154259462027,17.031591310000003,420,0.050847467,-0.059808604419231415
480,392,23,188416,0.9300122112035751,-5.92644745670259,0.1190673828125,0.4,3e-05,-0.03061729313703836,774.65,0.1244683712720871,0.5090462102365564,17.80678942,440,0.041799996,0.3193170130252838
480,409,24,196608,0.9514037780463696,-6.120593283325434,0.12596435546875,0.4,3e-05,-0.03972059576044558,735.46,0.12381400913000107,0.3763499490436516,19.517938670000003,460,0.048240595,-0.02027427777647972
480,426,25,204800,0.9619225263595581,-6.387544970959425,0.11746826171875,0.4,3e-05,-0.04033291482519417,735.28,0.12311579287052155,0.4113096700370079,20.42930921,480,0.04781562,0.03842821344733238
480,443,26,212992,0.9414971247315407,-6.4891565050929785,0.104180908203125,0.4,3e-05,-0.03037726583715994,696.51,0.12258156388998032,0.3802632332299254,21.2871775,500,0.04606123,0.5880603790283203
480,460,27,221184,0.9390798583626747,-6.087808148190379,0.068731689453125,0.4,3e-05,-0.02797300179445301,693.02,0.12190409004688263,0.4071500545163872,21.490683299999997,520,0.029383525,0.06906258314847946
480,477,28,229376,0.9629911705851555,-6.1395272362977265,0.09287109375,0.4,3e-05,-0.03953111418632034,696.46,0.12143676728010178,0.16959582143463195,20.97189846,540,0.037654262,-0.017092932015657425
480,494,29,237568,0.9635565392673016,-6.433478490263224,0.09481201171875,0.4,3e-05,-0.03183190688796458,697.72,0.12076002359390259,0.09192962720771902,20.5908765,560,0.038044002,-0.03582846000790596
480,511,30,245760,0.9442553073167801,-6.356329287961126,0.097015380859375,0.4,3e-05,-0.03378557229625585,684.79,0.12051379680633545,0.3472465168102644,20.953487729999996,580,0.04767645,0.3681824803352356
479,529,31,253952,0.9321297779679298,-6.551393946632743,0.096258544921875,0.4,3e-05,-0.02777752992042224,675.5,0.11975311487913132,0.5018704672766034,20.67811228,600,0.042249963,0.03441988304257393
479,546,32,262144,0.963978473097086,-6.597117755189538,0.10914306640625,0.4,3e-05,-0.04066906711777847,681.29,0.11907114088535309,0.2915705674429773,20.14395584,620,0.046208486,-0.05263828486204147
476,567,33,270336,0.9773914664983749,-6.750071799010039,0.153656005859375,0.4,3e-05,-0.048929552405752474,669.88,0.11852499842643738,0.20659575093595778,20.19819689,640,0.057722542,-0.062160637229681015
471,590,34,278528,0.9611070603132248,-6.776227610558271,0.11102294921875,0.4,3e-05,-0.03859724240028299,675.58,0.1181902140378952,0.15763729689933825,20.413581269999998,660,0.049654085,-0.020434608682990074
471,607,35,286720,0.9593966752290726,-6.678424179553986,0.096343994140625,0.4,3e-05,-0.028846655796769483,656.54,0.11753503978252411,0.3542097904457478,21.89819796,680,0.034868486,0.039200443774461746
471,625,36,294912,0.9827095791697502,-6.796663226932287,0.114849853515625,0.4,3e-05,-0.03949456933878537,628.39,0.11654005944728851,0.15062415419961325,23.30843397,700,0.042449832,0.059338606894016266
472,642,37,303104,0.9691023025661707,-6.89636078812182,0.121832275390625,0.4,3e-05,-0.04478276437730529,608.19,0.11609425395727158,0.22222577455977444,23.68245946,720,0.05110938,-0.013180572539567947
477,651,38,311296,0.9735218156129122,-6.821041894704104,0.11268310546875,0.4,3e-05,-0.03958615315386851,598.74,0.1154983788728714,0.1797925230610417,24.13497199,740,0.041848734,-0.0437454916536808
477,669,39,319488,0.9786226730793715,-6.946714205294848,0.1041259765625,0.4,3e-05,-0.03736331837535545,596.77,0.11530344188213348,0.2007534065254731,23.746933010000003,760,0.04359567,0.0018706433475017548
477,686,40,327680,0.975837342441082,-6.891411259025335,0.099200439453125,0.4,3e-05,-0.03485592118959176,559.76,0.11483098566532135,0.24858676634612492,25.02634264,780,0.044624556,-0.046164631843566895
477,703,41,335872,0.9871361507102847,-7.192393391206861,0.081268310546875,0.4,3e-05,-0.0340672905320389,542.28,0.1145598515868187,0.10319944882867275,24.99519831,800,0.03814211,-0.04526761919260025
477,720,42,344064,0.9828734919428825,-7.51444521099329,0.130072021484375,0.4,3e-05,-0.03862784521261346,554.11,0.1136690229177475,0.16214558030769693,24.153411809999998,820,0.054601453,0.017673708498477936
477,738,43,352256,0.9767294991761446,-7.011343859881163,0.116632080078125,0.4,3e-05,-0.04318530385462509,520.45,0.11331228911876678,0.12547984620032365,24.88930503,840,0.049498178,-0.01186312735080719
476,755,44,360448,0.9843169376254082,-7.155384040251374,0.124969482421875,0.4,3e-05,-0.040160551956068956,514.26,0.11276866495609283,0.15425506428000518,25.23105922,860,0.051109314,0.10041610896587372
476,773,45,368640,0.976239912211895,-7.350738026201725,0.078515625,0.4,3e-05,-0.03110538315559097,501.44,0.1122191995382309,0.30179412074503487,26.007729740000006,880,0.0289182,0.3083796799182892
476,791,46,376832,0.9901487529277802,-7.213174910843373,0.08726806640625,0.4,3e-05,-0.03149114858060784,482.04,0.11143587529659271,0.10897429855249356,26.585786700000003,900,0.032431804,0.024290043860673904
476,808,47,385024,0.9896616563200951,-7.195845176279545,0.121917724609375,0.4,3e-05,-0.03616694551892578,472.67,0.11088039726018906,0.06937623829508084,26.900484340000002,920,0.04794529,0.023484598845243454
476,825,48,393216,0.9877655291929841,-7.193903558701277,0.101611328125,0.4,3e-05,-0.03835491351637756,459.76,0.11046414077281952,0.085605402852525,27.490613670000005,940,0.03810585,-0.03870100528001785
